initials,todays_date,mouse_id,sex,strain,genotype,bd,sac_date,disposition_notes,treatment,date_of_first_treatment,treatment_duration,injection_date,virus_1,virus_2,virus_3,evidence_of_tumor,date_tumor_reported,dox_tx,tissue_collected,zinc_fixed,formalin_fixed,parafin_block_number_s,slide_number_s,h_e,gross_visualization_of_lung_nodules,age_at_sac,drug_treatment,reason_for_sac,start_of_treatment,treatment_length,rcas_injection,injection_route,age_at_tumor_onset,todays_date_original,sac_date_original,injection_date_original,date_tumor_reported_original
KC,2021-08-09,1557-1-5-00,M,GFP,GFP,2021-04-13,2021-08-09,Sacked for lethargy; No evidence of tumor; No evidence of tumor; Sacked for lethargy and ruffled fur,,,,2021-06-18,"Randomized to Y3.2 Pten Null Parental-Luc2-IRES-GFP, myr-SGK1-Luc2-IRES-GFP, or myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,No,NA,,"Brain, Lungs",No,"Brain, Lungs",,,,No,118,,,,,,,,44417,44417,44365,NA
TT,2021-08-09,S1010_01,M,GFP,GFP,2021-05-29,2021-08-09,sac'd for tumor size; Sac'd for tumor size (>2000mm^3) and BLI score; all other organs appeared normal; no evidence of metastases via BLI.,,,,2021-07-15,"Y3.2 Pten Null myr-SGK1-Luc2-IRES-eGFP, GP, 7-15-21",,,Yes,,,"Brain, Lungs, Liver, Tumor",No,Yes,"HCI-S3015-03 T, B, L, Li",,yes,,72,,,,,No,Subcutaneous,,44417,44417,44392,
TT,2021-08-09,S3013-00,M,GFP,GFP,2021-05-29,2021-08-09,sac'd for tumor size; Sac'd for tumor size (>2000mm^3) and BLI score; all other organs appeared normal; no evidence of metastases via BLI.,,,,2021-07-15,"Y3.2 Pten Null myr-SGK3-Luc2-IRES-eGFP, GP, 7-15-21",,,Yes,,,"Brain, Lungs, Liver, Tumor",No,Yes,"HCI-S3015-03 T, B, L, Li",,yes,,72,,,,,No,Subcutaneous,,44417,44417,44392,
KC,2021-08-06,26302-00,M,DCT-TVA:Brafca/ca;Tyr/+,DCT-TVA:Brafca/ca;Tyr/+,2021-02-21,2021-08-05,"No tumor noted; sac'd for squinting and lethargy; Sac'd for health reasons; Brain, lungs, and other organs appeared normal; No evidence of tumor",,,,2021-02-23,RCAS Cre + RCAS myr-HA-Akt1 (GP 2/23/21),,,No,NA,,"B,L",No,"B,L",,,,Yes,165,,,,,,,,44414,44413,44250,NA
KC,2021-08-06,26303-01,M,DCT-TVA:Brafca/ca;Tyr/+,DCT-TVA:Brafca/ca;Tyr/+,2021-02-21,2021-08-05,"No tumor noted; sac'd for squinting and lethargy; Sac'd for health reasons; Brain, lungs, and other organs appeared normal; No evidence of tumor",,,,2021-02-23,RCAS Cre + RCAS myr-HA-Akt1 (GP 2/23/21),,,No,NA,,"B,L",No,"B,L",,,,Yes,165,,,,,,,,44414,44413,44250,NA
KC,2021-08-06,1552-1-2-10,F,GFP,GFP,2021-04-13,2021-08-05,"Sacked for tumor size; Piece taken for frozen sample in cryovial; Brain, lungs, and all other organs appeared normal.",,,,2021-06-18,"Randomized to Y3.2 Pten Null Parental-Luc2-IRES-GFP, myr-SGK1-Luc2-IRES-GFP, or myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,114,,,,,,,,44414,44413,44365,44379
GP,2021-08-05,S3014-01,M,GFP,GFP,2021-06-01,2021-08-05,sac'd for tumor size; Sac'd for tumor size (>2000mm^3) and BLI score; all other organs appeared normal; no evidence of metastases via BLI.,,,,2021-07-15,"Y3.2 Pten Null myr-SGK1-Luc2-IRES-eGFP, GP, 7-15-21",,,Yes,,,"Brain, Lungs, Liver, Tumor",No,Yes,"HCI-S3015-03 T, B, L, Li",,yes,,65,,,,,No,Subcutaneous,,44413,44413,44392,
KC,2021-08-02,26304-03,M,DCT-TVA:Brafca/ca;Tyr/+,DCT-TVA:Brafca/ca;Tyr/+,2021-02-21,2021-08-02,No tumor noted; sac'd for squinting and seemingly being ill; Sac'd for health reasons; Small nodules on lungs; No evidence of tumor,,,,2021-02-23,RCAS Cre + RCAS myr-HA-Akt1 (GP 2/23/21),,,No,NA,,"B,L",No,"B,L",,,,Yes,162,,,,,,,,44410,44410,44250,NA
KC,2021-08-02,26644-01 (br),M,DCT-TVA::Ptenf/f;Brafca/ca,DCT-TVA::Ptenf/f;Brafca/ca,2021-03-29,2021-08-02,Sac'd due to tumor size; Tumor impairing vision; Sac'd due to tumor size; Skull was intact.; Tumor impairing vision,,,,2021-03-30,RCAS Cre 3/30/21 CS,,,Yes,2021-06-14,,"B,L,T1",No,"B,L,T1",,,,No,126,,,,,,,,44410,44410,44285,44361
GP,2021-08-02,S1004-01,F,GFP,GFP,2021-06-02,2021-08-02,sac'd for tumor size; Sac'd for tumor size (>2000mm^3) and BLI score; all other organs appeared normal; no evidence of metastases via BLI.,,,,2021-07-15,"Y3.2 Pten Null myr-SGK1-Luc2-IRES-eGFP, GP, 7-15-21",,,Yes,,,"Brain, Lungs, Liver, Tumor",No,Yes,"HCI-S1004-01 T, B, L, Li",,yes,,61,,,,,No,Subcutaneous,,44410,44410,44392,
GP,2021-08-02,S3015-03,M,GFP,GFP,2021-06-02,2021-08-02,sac'd for tumor size; Sac'd for tumor size (>2000mm^3) and BLI score; all other organs appeared normal; no evidence of metastases via BLI.,,,,2021-07-15,"Y3.2 Pten Null myr-SGK1-Luc2-IRES-eGFP, GP, 7-15-21",,,Yes,,,"Brain, Lungs, Liver, Tumor",No,Yes,"HCI-S3015-03 T, B, L, Li",,yes,,61,,,,,No,Subcutaneous,,44410,44410,44392,
AG,2021-07-26,27096-00,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-26,"head bulge, lethargic, turning mostly to it's left; Right cerebral hemisphere was shrunken. Left cerebral hemisphere normal. Extensive blood vessels over skull",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27096,1,yes,,65 days,,,,,Yes,Intracranial,,44403,44403,44339,
RH,2021-07-24,26865-01,F,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,DCT-TVA::Cas9f/f;Ptenf/f;Inkf/f,2021-04-20,2021-07-22,"""tumor"" ulcered; Tumor appeared as a red sore or scab under the right ear. The wound opened on 7/22, so the mouse had to be euthanized.",,,,,RCAS Cre U6 sgRNA NF1 Ex2,,,Yes,2021-07-18,,"B,L,T1",No,"B,L,T1",,,,No,93,,,,,,,,44401,44399,"4/20/2021, 4/21/21",44395
AG,2021-07-22,27140-10,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-22,"Scruffy, head bulge, squinted eyes; Extensive blood vessels over skull, Inside of brain was reddish brown",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27140,1,yes,,58 days,,,,,Yes,Intracranial,,44399,44399,44342,
KC,2021-07-21,26269-03,M,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,DCT-TVA;Ptenf/f;Brafca/ca;Tyr-Cre/+,2021-02-19,2021-07-21,"Lethargic, almost completely immobile, heavily leaning to the right; EXCLUDE FROM STUDY DUE TO NO EVIDENCE OF A PRIMARY TUMOR; Brain was incredibly large and was abnormal in appearance. No clear differenciation between hemispheres; A few lung mets were seen grossly",,,,2021-02-19,RCAS Cre (GP 2/19/21),,,No,,,"Brain, lungs",No,"Brain, lungs",,,,,152,,,,,,,,44398,44398,44246,
KC,2021-07-21,26438-03,M,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,DCT-TVA::Ptenf/f;Brafca/ca;Tyr/+,2021-03-09,2021-07-21,"sacked for tumor on neck; Brain and lungs appeared normal, tumor on neck was not incredibly large",,,,2021-03-09,RCAS Cre (GP/CS 3/9/21),,,Yes,2021-05-19,,"Brain, lungs, tumor",No,"Brain, lungs, tumor",,,,,134,,,,,,,,44398,44398,44264,44335
KC,2021-07-21,27150-01,F,All Alleles,All Alleles,2021-05-26,2021-07-21,"Sacked for tumow on neck; Brain appeared normal; A few lung mets were seen grossly; Tumor on back of neck, did not exceed 2,000 mm^3",,,,2021-05-28,RCAS myr-HA-AKT1 + RCAS Cre (CS/TT 5/28/21),,,No,,,"Brain, lungs, tumor",No,"Brain, lungs, tumor",,,,,56,,,,,,,,44398,44398,44344,
AG,2021-07-20,27104-01(Wh),F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-20,"Head bulge, Found Pregnant; Brain appears normal",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27104,1,yes,,59 days,,,,,Yes,Intracranial,,44397,44397,44339,
KC,2021-07-19,1557-1-5-01,M,GFP,GFP,2021-04-13,2021-07-19,"Sacked for tumor size and lethargy; Tumor had not yet reached 2,000 mm^3, but was sacked for lethargy; Piece taken for frozen sample in cryovial; Brain and lungs appeared normal; Rib cage appeared to be formed a bit abnormally on the left side, no tumor was visualized grossly in the chest cavity",,,,2021-06-18,"Randomized to Y3.2 Pten Null Parental-Luc2-IRES-GFP, myr-SGK1-Luc2-IRES-GFP, or myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,NA,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,97,,,,,,,,44396,44396,44365,NA
AG,2021-07-19,27093-00,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-19,"Head bulge,lethargic,hunched back; Brain apperes normal",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27093,1,yes,,58 days,,,,,Yes,Intracranial,,44396,44396,44339,
AG,2021-07-19,27132-00,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-19,"Scruffy , head bulge lethargic hunched back, squinted eyes; Brain appears small",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27132,1,yes,,55 days,,,,,Yes,Intracranial,,44396,44396,44342,
AG,2021-07-19,27138-01,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-19,"Scruffy , lethargic hunched back; Skull has pronounced blood vessels.Brain appears smaller and hemorrhagic",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27138,1,yes,,55 days,,,,,Yes,Intracranial,,44396,44396,44342,
AG,2021-07-14,27136-11,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-14,"Seizure,lethargic, closing eyes, breathing rapidly with pink patch on head.; Brain appears normal",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27136,1,yes,,50 days,,,,,Yes,Intracranial,,44391,44391,44342,
AG,2021-07-14,27137-00,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-14,"Scruffy ,Lethargic,both eyes closed; Brain appears normal",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27137,1,yes,,50 days,,,,,Yes,Intracranial,,44391,44391,44342,
KC,2021-07-13,1557-1-4,F,GFP,GFP,2021-04-13,2021-07-13,"Sacked for tumor size, wound, and lethargy; Tumor was necrotic; Piece taken for frozen sample in cryovial; Brain appeared semi liquid, lungs and all other organs appeared normal.",,,,2021-06-18,"Randomized to Y3.2 Pten Null Parental-Luc2-IRES-GFP, myr-SGK1-Luc2-IRES-GFP, or myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,91,,,,,,,,44390,44390,44365,44379
KC,2021-07-12,27149-00,F,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,2021-05-26,2021-07-12,"large head tumor noticed on 7/2/21; sacked for tumor size; Right lung was severely inflamed and swollen, looked to be about 3x the size of the left lung. Primary tumor on head was not incredibly large",,,,2021-05-28,RCAS myr-HA-AKT1,RCAS Cre,,Yes,2021-07-02,No,"Brain, Lungs, T1, Lung tumor",No,"Brain, Lungs, T1, Lung tumor",,,,Yes,47,No,,,,,,,44389,44389,44344,44379
GP,2021-07-12,1557-1-1-00,M,GFP,GFP,2021-04-13,2021-07-12,"Sacked for tumor size; Tumor reached ~2000mm^3; Tumor was necrotic; Piece taken for frozen sample in cryovial; Brain, lungs, and all other organs appeared normal.",,,,2021-06-18,Y3.2 Pten Null Parental (Luc2-IRES-GFP),,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,90,,,,,,,,44389,44389,44365,44379
GP,2021-07-12,1557-1-1-01,M,GFP,GFP,2021-04-13,2021-07-12,"Sacked for tumor size; Tumor reached ~2000mm^3; Tumor was necrotic; Piece taken for frozen sample in cryovial; Brain, lungs, and all other organs appeared normal.",,,,2021-06-18,Y3.2 Pten Null Parental (Luc2-IRES-GFP),,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,90,,,,,,,,44389,44389,44365,44379
GP,2021-07-12,1557-1-1-03,M,GFP,GFP,2021-04-13,2021-07-20,"Sacked for inhibited movement, ruffled fur.; Looked generally unwell; Mouse had difficulty walking; Ruffled fur; Piece taken for frozen sample in cryovial; Brain, lungs, and all other organs appeared normal.; Tumor was small but present",,,,2021-06-18,Y3.2 Pten Null Parental (Luc2-IRES-GFP),,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,98,,,,,,,,44389,44397,44365,44379
GP,2021-07-12,1557-1-2-01,M,GFP,GFP,2021-04-13,2021-07-12,"Sacked for tumor size; Tumor reached ~2000mm^3; Tumor was necrotic; Piece taken for frozen sample in cryovial; Brain, lungs, and all other organs appeared normal.",,,,2021-06-18,Y3.2 Pten Null myr-SGK1-Luc2-IRES-GFP,,,Yes,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,90,,,,,,,,44389,44389,44365,44379
TT,2021-07-10,0,M,GFP,GFP,2021-04-13,2021-07-10,"No movement, disheveled fur, slow breathing on 7/10/21",,,,2021-06-18,Y3.2 Pten Null myr-SGK1-Luc2-IRES-GFP,,,Small primary tumor below shoulder on middle of back,2021-07-02,,"Brain, Lungs, tumor",No,"Brain, Lungs, tumor",,,,No,88,,,,,,,,44387,44387,44365,44379
TT,2021-07-09,27151-00,M,All Alleles,DCT-TVA::Ptenf/f;Inkf/f;Brafca/ca,2021-05-26,2021-07-09,"Heavy breathing noticed 7/8/21, slow moving and enlarged head on 7/9/21; Right lung was severely inflamed and swollen, looked to be about 3x the size of the left lung. Nodules on left lung noticed, as well as nodules in the periphery of the heart/lungs. 0.25cm tumor taken from lung periphery. Primary tumor above skull was relatively small, and seemed to be disseminated over a large area.",,,,2021-05-28,RCAS myr-HA-AKT1,RCAS Cre,,Small primary tumor above skull (t1) and internal tumor near heart/lungs (T2),unnoticed,,"Brain, Lungs, tumors",No,"Brain, Lungs, tumors",,,,Yes,44,,,,,,,,44386,44386,44344,unnoticed
AG,2021-07-08,27095-01,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-08,"Scruffy,lethargic,head bulge had seizure before dying; Right Cerebral hemisphere's some portion was mushy. Other brain normal.",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27095,1,yes,,47 days,,,,,Yes,Intracranial,,44385,44385,44339,
RF,2021-07-07,26047-03,M,DCT-TVA:BrafCa/Ca;Tyr/+,DCT-TVA:BrafCa/Ca;Tyr/+,2021-01-24,2021-07-07,"Fight wounds around tail; Mouse showed fighting wounds around hind legs and tail. No obvious tumor was recorded.  Cage was split to avoid fighting, wounds continued. Mouse was sacked, brain and lungs were collected. Nodules on lung. No tumors found during necropsy.",,,,2021-01-26,RCAS myr-HA-AKT1 + RCAS Cre,,,No,,,"Brain, Lungs",No,"Brain, Lungs",,,,Yes,164,,,,,,,,44384,44384,44222,
AG,2021-07-05,27094-00,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-05,Tilted head; Brain apperes normal,,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27094,1,yes,,44 days,,,,,Yes,Intracranial,,44382,44382,44339,
AG,2021-07-05,27097-01,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-05,"Head bulge, scruffy, Hydrocephaly; Brain apperes small",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27097,1,yes,,44 days,,,,,Yes,Intracranial,,44382,44382,44339,
AG,2021-07-05,27100-11,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-05,Found dead,,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,"Found dead, couldn’t harvest brain",No,No,,1,No,,44 days,,,,,Yes,Intracranial,,44382,44382,44339,
AG,2021-07-05,27102-01,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-05,"closing eyes, scruffy , head bulge,lethargic; Brain apperes normal",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27102,1,yes,,44 days,,,,,Yes,Intracranial,,44382,44382,44339,
AG,2021-07-05,27134-03,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-05,"Head bulge,lethargic, hunchback; Red patch on brain may be extensive blood vessels or blood vesssel rupture",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27134,1,yes,,41 days,,,,,Yes,Intracranial,,44382,44382,44342,
AG,2021-07-05,27139-03,M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-25,2021-07-05,"Scruffy, Head bulge,lethargic; Red patch on brain may be extensive blood vessels or blood vesssel rupture",,,,2021-05-26,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27139,1,yes,,41 days,,,,,Yes,Intracranial,,44382,44382,44342,
KC,2021-07-02,26050,M,DCT-TVA:BrafCa/Ca;Tyr/+,DCT-TVA:BrafCa/Ca;Tyr/+,2021-01-24,2021-07-02,"Fight wounds on hind limbs; No evidence of tumor, had fight wounds on both rear legs",,,,2020-10-19,RCAS myr-HA-AKT1 + RCAS Cre,,,No,NA,,"Brain, Lungs",No,"Brain, Lungs",,,,,159,,,,,,,,44379,44379,44123,NA
KC,2021-07-02,Cage 1557-6-1 ear notch 10,M,GFP,GFP,2021-04-13,2021-07-02,Sacked for tumor size; Larger tumor on R side above R rear leg; Brtain was fully intact; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,2021-06-28,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,80,NO,,,,,,,44379,44379,44365,44375
AG,2021-07-02,27101-00(Wh),M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-02,"Scruffy, Head bulge, lethargic; Brain apperes Normal.",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27101,1,yes,,41 days,,,,,Yes,Intracranial,,44379,44379,44339,
AG,2021-07-02,27103-00(bl),M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-02,"Head bulge, both eyes were closed, lethargic; Brain apperes Normal.",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27103,1,yes,,41 days,,,,,Yes,Intracranial,,44379,44379,44339,
AG,2021-07-02,27105-03(bl),M,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-07-02,"Head bulge, Having seizures.; Brain was smaller",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27105,1,yes,,41 days,,,,,Yes,Intracranial,,44379,44379,44339,
RH,2021-07-01,26140-10,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-31,2021-07-01,"mouse appeared normal prior to necropsy, brain was being pushed from a large tumor underneith that was attached to the base of the cranial cavity, possibly from a cranial nerve (right side), a photo was taken. Tumor was very firm and white looking, It was split 3 ways for freezing, cell line, and fixing. I included the tumor along with the brain in the same parafin block.",,,,2021-02-02,RCAS Cre-U6-sgRNA-Ex2-NF1,,,,,,"Brain, cranial nerve tumor",No,"Brain, cranial nerve tumor",,,,,151,,,,,,,,44378,44378,44229,
KC,2021-07-01,Cage 1557-6-1 ear notch 01,M,GFP,GFP,2021-04-13,2021-07-01,Sacked for tumor size; Larger tumor on R side above R rear leg; Brain was semi-fluid; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,2021-06-28,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,79,NO,,,,,,,44378,44378,44365,44375
GP,2021-06-29,Cage 1552-1-2,F,GFP,GFP,2021-04-13,2021-06-30,Sacked for tumor size; Larger tumor on R side above R rear leg; Brain was fully intact; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,78,NO,,,,,,,44376,44377,44365,
GP,2021-06-29,Cage 1557-1-2--01,M,GFP,GFP,2021-04-13,2021-06-29,Sacked for tumor size; Larger tumor on R side above R rear leg; Brain was fully intact; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,77,NO,,,,,,,44376,44376,44365,
GP,2021-06-29,Cage 1557-1-2--00,M,GFP,GFP,2021-04-13,2021-06-29,Sacked for tumor size; Larger tumor on R side above R rear leg; Brain was fully intact; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,77,NO,,,,,,,44376,44376,44365,
GP,2021-06-29,Cage 1557-6-1,M,GFP,GFP,2021-04-13,2021-06-28,Sacked for tumor size; Larger tumor on R side above R rear leg; Brain was fully intact; No evidence of lung nodules,,,,2021-06-18,"myr-SGK3-Luc2-IRES-GFP, GP/TT 6-18-21",,,Yes,,No,"Brain, Lungs, T1",No,"Brain, Lungs, T1",,,,No,76,NO,,,,,,,44376,44375,44365,
AG,2021-06-28,27099-10,F,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,N-TVA::Ptenf/f;Inkf/f;Atrxf/f,2021-05-22,2021-06-28,"Domed head, lethargic, isolated itself and moving in circles; Brain apperes Normal.",,,,2021-05-23,RCAS-CRE,RCAS-IDH1R132H-HA,RCAS-PDGFA,No,,,Brain,No,Yes,HCI-21-27099,1,yes,,37 days,,,,,Yes,Intracranial,,44375,44375,44339,
RH,2021-06-23,26143-03,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-31,2021-06-23,"mouse is puffy, not moving around much, slow breathing; Brain looked uncharacteristically white and it did not separate from the skull cleanly",,,,2021-02-02,RCAS Cre-U6sgRNA-ex2-NF1,,,no,,,Brain,No,Brain,,,,No,143,,,,,,,,44370,44370,44229,
KC,2021-06-21,25915-00 (br),F,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,DCT-TVA; Pten f/f; Braf Ca/Ca; Tyr/+,2021-01-13,2021-06-21,Sac'd due to tumor size; Tumor found abve left ear; Skull intact,,,,2021-01-14,RCAS Cre,,,Yes,2021-06-01,,"B,L,T1",No,"B,L,T1",,,,No,159,,,,,,,,44368,44368,44210,44348
KC,2021-06-21,26635-00,F,All Alleles,All Alleles,2021-03-28,2021-06-21,Sac'd due to tumor size; Sac'd due to tumor size; Skull was mostly intact.; Tumor above left ear,,,,2021-03-29,RCAS Akt1+Cre 3/29/21 CS,,,Yes,2021-06-14,,"B,L,T1",No,"B,L,T1",,,,No,85,,,,,,,,44368,44368,44284,44361
RH,2021-06-14,26069-10,M,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-25,2021-06-14,"Found dead. Noticed lower spine tumor on 6/9, lost mobility on 6/11, paralyzed on 6/12.",,,,2021-12-30,RCAS Cre-U6sgRNA-ex2-NF1,,,,,,Brain,No,Brain,,,,,140,,,,,,,,44361,44361,44560,
RH,2021-06-08,26008-01,F,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,N-TVA; Pten f/f; H11LSL-Cas9 f/f; Ink4a/Arf f/f; ATRX +/+,2021-01-20,2021-06-08,"R eye partially closed, and starting to loose mobility in hind legs, no sign of tumor upon necropsy",,,,2021-01-22,RCAS Cre U6 sgRNA Ex2 NF1,,,,,,Brain,No,Brain,,,,,139,,,,,,,,44355,44355,44218,
RF/KC,2021-06-04,25575,F,DCT-TVA:BrafCa/Ca;Tyr/+,DCT-TVA:BrafCa/Ca;Tyr/+,2020-12-06,2021-06-04,Experimental Enddate; Experimental enddate; Many lung nodules,,,,2021-12-07,RCAS HA-PIK3CA-H1047R + Cre,,,No,,,"Brain, Lungs",No,"Brain, Lungs",,,,Yes,180,,,,,,,,44351,44351,44537,
