vector_number,vector_name,vector_name_clean,filename
0484,RCASBP(A) BRAF KD,RCASBP(A) BRAF KD,0484-RCASBP(A) BRAF KD.dna
0485,pCR8 KIAA:BRAF Kex16  10/13/10,pCR8 KIAABRAF Kex16  101310,0485-pCR8 KIAABRAF Kex16  101310.dna
0486,RCAN TRE-NRAS(Q61R)-IRES-Cre  11/13/13,RCAN TRE-NRAS(Q61R)-IRES-Cre  111313,0486-RCAN TRE-NRAS(Q61R)-IRES-Cre  111313.dna
0487,FG12 GFP C-KIT WT,FG12 GFP C-KIT WT,0487-FG12 GFP C-KIT WT.dna
0488,RCAS MEK 5/28/09,RCAS MEK 52809,0488-RCAS MEK 52809.dna
0489,pCR8 CRE,pCR8 CRE,0489-pCR8 CRE.dna
0490,pDest 12-2 CRE,pDest 12-2 CRE,0490-pDest 12-2 CRE.dna
0491,RCAS FAM BRAF V600E,RCAS FAM BRAF V600E,0491-RCAS FAM BRAF V600E.dna
0492,RCAS HA VD V5 V600E,RCAS HA VD V5 V600E,0492-RCAS HA VD V5 V600E.dna
0493,RCAS BRAF KD HA V600E,RCAS BRAF KD HA V600E,0493-RCAS BRAF KD HA V600E.dna
0494,RCAS BRAF V5 V600E,RCAS BRAF V5 V600E,0494-RCAS BRAF V5 V600E.dna
0495,RCASBP (A) WT IDH2-HA (human),RCASBP (A) WT IDH2-HA (human),0495-RCASBP (A) WT IDH2-HA (human).dna
0496,PCR8 IDH1 WT HA?,PCR8 IDH1 WT HA,0496-PCR8 IDH1 WT HA.dna
0497,PCR8 IDH1 mutant HA,PCR8 IDH1 mutant HA,0497-PCR8 IDH1 mutant HA.dna
0498,pDest FG12 AKT,pDest FG12 AKT,0498-pDest FG12 AKT.dna
0499,a:  RCAS BP(A) IDH1 R132H;  b:  RCAS BP(A)?,a  RCAS BP(A) IDH1 R132H;  b  RCAS BP(A),0499-a  RCAS BP(A) IDH1 R132H;  b  RCAS BP(A).dna
0500,RCAS IDH-1 wt HA tag,RCAS IDH-1 wt HA tag,0500-RCAS IDH-1 wt HA tag.dna
0501,pDest 12-2 CRE,pDest 12-2 CRE,0501-pDest 12-2 CRE.dna
0502,pShuttle IDH-1Mutant GFP,pShuttle IDH-1Mutant GFP,0502-pShuttle IDH-1Mutant GFP.dna
0503,RCASBP (A) IDH1 R132H HA (human),RCASBP (A) IDH1 R132H HA (human),0503-RCASBP (A) IDH1 R132H HA (human).dna
0504,RCASBP (A) IDH2 Mutant-HA,RCASBP (A) IDH2 Mutant-HA,0504-RCASBP (A) IDH2 Mutant-HA.dna
0505,pEFM- EGFP- V5,pEFM- EGFP- V5,0505-pEFM- EGFP- V5.dna
0506,RCAN TRE BRAF V600E V5 HIS,RCAN TRE BRAF V600E V5 HIS,0506-RCAN TRE BRAF V600E V5 HIS.dna
0507,RCAN TRE BRAF V600E MYC HIS TAG,RCAN TRE BRAF V600E MYC HIS TAG,0507-RCAN TRE BRAF V600E MYC HIS TAG.dna
0508,pDEST12-2 KIAA STOP,pDEST12-2 KIAA STOP,0508-pDEST12-2 KIAA STOP.dna
0509,FG12 KIAA STOP,FG12 KIAA STOP,0509-FG12 KIAA STOP.dna
0510,RCASBP(A)-Fam 131B BRAF w/t,RCASBP(A)-Fam 131B BRAF wt,0510-RCASBP(A)-Fam 131B BRAF wt.dna
0511,RCAS BPA IDH2 HA R172K,RCAS BPA IDH2 HA R172K,0511-RCAS BPA IDH2 HA R172K.dna
0512,FG12 dsRED dsRED CKIT HA,FG12 dsRED dsRED CKIT HA,0512-FG12 dsRED dsRED CKIT HA.dna
0513,PENTR 3C-TRE-KRAS MINI,PENTR 3C-TRE-KRAS MINI,0513-PENTR 3C-TRE-KRAS MINI.dna
0514,RCAS y DV(A) MMP9,RCAS y DV(A) MMP9,0514-RCAS y DV(A) MMP9.dna
0515,RCAS BPA KRAS-HA (HUMAN),RCAS BPA KRAS-HA (HUMAN),0515-RCAS BPA KRAS-HA (HUMAN).dna
0516,RCAN BPA TRE KRAS HA (HUMAN),RCAN BPA TRE KRAS HA (HUMAN),0516-RCAN BPA TRE KRAS HA (HUMAN).dna
0517,FG12 DSRED MHGFX,FG12 DSRED MHGFX,0517-FG12 DSRED MHGFX.dna
0518,FG12 CKIT (GFP),FG12 CKIT (GFP),0518-FG12 CKIT (GFP).dna
0519,RCAS y DV(A) NRAS(Q61R) (HA) IRES CRE,RCAS y DV(A) NRAS(Q61R) (HA) IRES CRE,0519-RCAS y DV(A) NRAS(Q61R) (HA) IRES CRE.dna
0520,PDEST FG12 CMV,PDEST FG12 CMV,0520-PDEST FG12 CMV.dna
0521,FG12 NO GFP+CMV,FG12 NO GFP+CMV,0521-FG12 NO GFP+CMV.dna
0522,PDEST FG12 NO PROMOTER/ NO GFP,PDEST FG12 NO PROMOTER NO GFP,0522-PDEST FG12 NO PROMOTER NO GFP.dna
0523,PDEST FG12- NO PROMOTER -DSRED,PDEST FG12- NO PROMOTER -DSRED,0523-PDEST FG12- NO PROMOTER -DSRED.dna
0524,pDEST FG12AKT1,pDEST FG12AKT1,0524-pDEST FG12AKT1.dna
0525,RCAN Y DV (A) TRE KRAS,RCAN Y DV (A) TRE KRAS,0525-RCAN Y DV (A) TRE KRAS.dna
0526,RCAS BP Y DV (A) AKT1 M-HA,RCAS BP Y DV (A) AKT1 M-HA,0526-RCAS BP Y DV (A) AKT1 M-HA.dna
0527,RCAS BP Y DV (A),RCAS BP Y DV (A),0527-RCAS BP Y DV (A).dna
0528,RCAS TYROSINASE,RCAS TYROSINASE,0528-RCAS TYROSINASE.dna
0529,Pdest FG12 Mbrca 1,Pdest FG12 Mbrca 1,0529-Pdest FG12 Mbrca 1.dna
0530,RCAS Y BP DV (A) LXCL12,RCAS Y BP DV (A) LXCL12,0530-RCAS Y BP DV (A) LXCL12.dna
0531,RCAS BP Y DV (A) CCL7,RCAS BP Y DV (A) CCL7,0531-RCAS BP Y DV (A) CCL7.dna
0532,Pdest fg12 ccl7,Pdest fg12 ccl7,0532-Pdest fg12 ccl7.dna
0533,pDest FG12 CXCL12,pDest FG12 CXCL12,0533-pDest FG12 CXCL12.dna
0534,hBRCA1 clone 2,hBRCA1 clone 2,0534-hBRCA1 clone 2.dna
0535,hBRCA1 HA clone 4,hBRCA1 HA clone 4,0535-hBRCA1 HA clone 4.dna
0536,FG12 dsRED V5MMP1a,FG12 dsRED V5MMP1a,0536-FG12 dsRED V5MMP1a.dna
0537,FG12 dsRED V5MMP10,FG12 dsRED V5MMP10,0537-FG12 dsRED V5MMP10.dna
0538,FG12 dsRED V5MMP15,FG12 dsRED V5MMP15,0538-FG12 dsRED V5MMP15.dna
0539,RCAS y DV(A) V5MMP1a,RCAS y DV(A) V5MMP1a,0539-RCAS y DV(A) V5MMP1a.dna
0540,RCAS y DV(A) V5MMP15,RCAS y DV(A) V5MMP15,0540-RCAS y DV(A) V5MMP15.dna
0541,RCAS y DV(A) myc-hIRE1? WT,RCAS y DV(A) myc-hIRE1 WT,0541-RCAS y DV(A) myc-hIRE1 WT.dna
0542,RCAS y DV(A) myc-hIRE1? P830L,RCAS y DV(A) myc-hIRE1 P830L,0542-RCAS y DV(A) myc-hIRE1 P830L.dna
0543,RCAS y DV(A) myc-hIRE1? Q780*,RCAS y DV(A) myc-hIRE1 Q780,0543-RCAS y DV(A) myc-hIRE1 Q780.dna
0544,RCAS y DV(A) myc-hIRE1? S769F,RCAS y DV(A) myc-hIRE1 S769F,0544-RCAS y DV(A) myc-hIRE1 S769F.dna
0545,PDEST CMV FG12 FAM BRAF 1316 312 VE,PDEST CMV FG12 FAM BRAF 1316 312 VE,0545-PDEST CMV FG12 FAM BRAF 1316 312 VE.dna
0546,PDEST CMV FG12 FAM BRAF 1316 WT,PDEST CMV FG12 FAM BRAF 1316 WT,0546-PDEST CMV FG12 FAM BRAF 1316 WT.dna
0547,RCAS Y DVA NRAS Q61R HA,RCAS Y DVA NRAS Q61R HA,0547-RCAS Y DVA NRAS Q61R HA.dna
0548,HIF1 PCDUS 3.1,HIF1 PCDUS 3.1,0548-HIF1 PCDUS 3.1.dna
0549,RCAS BP (A) WT IDH2 - DOES NOT EXPRESS,RCAS BP (A) WT IDH2 - DOES NOT EXPRESS,0549-RCAS BP (A) WT IDH2 - DOES NOT EXPRESS.dna
0550,RCAS BP A IDH1 WT  HA (human),RCAS BP A IDH1 WT  HA (human),0550-RCAS BP A IDH1 WT  HA (human).dna
0551,pCR8/GW/TOPO hIRE? wt,pCR8GWTOPO hIRE wt,0551-pCR8GWTOPO hIRE wt.dna
0552,pCR8/GW/TOPO hIRE? S769F,pCR8GWTOPO hIRE S769F,0552-pCR8GWTOPO hIRE S769F.dna
0553,pCR8/GW/TOPO hIRE? Q780,pCR8GWTOPO hIRE Q780,0553-pCR8GWTOPO hIRE Q780.dna
0554,pCR8/GW/TOPO hIRE? P830L,pCR8GWTOPO hIRE P830L,0554-pCR8GWTOPO hIRE P830L.dna
0555,RCASBP(A) hIRE? Q780,RCASBP(A) hIRE Q780,0555-RCASBP(A) hIRE Q780.dna
0556,RCASBP(A) hIRE? P830L,RCASBP(A) hIRE P830L,0556-RCASBP(A) hIRE P830L.dna
0557,FG12 cmv ds red bmfHA,FG12 cmv ds red bmfHA,0557-FG12 cmv ds red bmfHA.dna
0558,pCR8/GW/TOPO hIRE? R635W,pCR8GWTOPO hIRE R635W,0558-pCR8GWTOPO hIRE R635W.dna
0559,RCASBP(A) v5MMP10,RCASBP(A) v5MMP10,0559-RCASBP(A) v5MMP10.dna
0560,pCR blunt II topo MMP1a  cdna,pCR blunt II topo MMP1a  cdna,0560-pCR blunt II topo MMP1a  cdna.dna
0561,pCR blunt II topo MMP10 cdna,pCR blunt II topo MMP10 cdna,0561-pCR blunt II topo MMP10 cdna.dna
0562,PCMV sport 6 MMP15,PCMV sport 6 MMP15,0562-PCMV sport 6 MMP15.dna
0563,PCR8 BRCA1 T1691A,PCR8 BRCA1 T1691A,0563-PCR8 BRCA1 T1691A.dna
0564,FG12 BRCA1 T1691A no gfp,FG12 BRCA1 T1691A no gfp,0564-FG12 BRCA1 T1691A no gfp.dna
0565,RCASBP(A) mBRAF v5 his,RCASBP(A) mBRAF v5 his,0565-RCASBP(A) mBRAF v5 his.dna
0566,FG12  mBRAF his no GFP,FG12  mBRAF his no GFP,0566-FG12  mBRAF his no GFP.dna
0567,FG12 hIRE1a WT NO GFP,FG12 hIRE1a WT NO GFP,0567-FG12 hIRE1a WT NO GFP.dna
0568,FG12 NO GFP hIRE1a Q780,FG12 NO GFP hIRE1a Q780,0568-FG12 NO GFP hIRE1a Q780.dna
0569,FG12 NO GFP hIRE1a P830L,FG12 NO GFP hIRE1a P830L,0569-FG12 NO GFP hIRE1a P830L.dna
0570,FG12 NO GFP hIRE1a  S769F,FG12 NO GFP hIRE1a  S769F,0570-FG12 NO GFP hIRE1a  S769F.dna
0571,RCANBP(A) H1-IDH1 ShRNA 1,RCANBP(A) H1-IDH1 ShRNA 1,0571-RCANBP(A) H1-IDH1 ShRNA 1.dna
0572,RCANBP(A) H1-IDH1 ShRNA 2,RCANBP(A) H1-IDH1 ShRNA 2,0572-RCANBP(A) H1-IDH1 ShRNA 2.dna
0573,RCANBP(A) H1-IDH1 ShRNA 3,RCANBP(A) H1-IDH1 ShRNA 3,0573-RCANBP(A) H1-IDH1 ShRNA 3.dna
0574,RCANBP(A) H1-IDH1 ShRNA 4,RCANBP(A) H1-IDH1 ShRNA 4,0574-RCANBP(A) H1-IDH1 ShRNA 4.dna
0575,RCANBP(A) H1-HGDH-L2 ShRNA 1,RCANBP(A) H1-HGDH-L2 ShRNA 1,0575-RCANBP(A) H1-HGDH-L2 ShRNA 1.dna
0576,RCANBP(A) H1-HGDH-L2 ShRNA 2,RCANBP(A) H1-HGDH-L2 ShRNA 2,0576-RCANBP(A) H1-HGDH-L2 ShRNA 2.dna
0577,RCANBP(A) H1-HGDH-L2 ShRNA 3,RCANBP(A) H1-HGDH-L2 ShRNA 3,0577-RCANBP(A) H1-HGDH-L2 ShRNA 3.dna
0578,RCANBP(A) H1-HGDH-D2 ShRNA 1,RCANBP(A) H1-HGDH-D2 ShRNA 1,0578-RCANBP(A) H1-HGDH-D2 ShRNA 1.dna
0579,RCANBP(A) H1-HGDH-D2 ShRNA 2,RCANBP(A) H1-HGDH-D2 ShRNA 2,0579-RCANBP(A) H1-HGDH-D2 ShRNA 2.dna
0580,RCANBP(A) H1-HGDH-D2 ShRNA 3,RCANBP(A) H1-HGDH-D2 ShRNA 3,0580-RCANBP(A) H1-HGDH-D2 ShRNA 3.dna
0581,RCANBP(A) shRNA IDH1 type1 JR,RCANBP(A) shRNA IDH1 type1 JR,0581-RCANBP(A) shRNA IDH1 type1 JR.dna
0582,RCANBP(A) shRNA IDH1 type2 JR,RCANBP(A) shRNA IDH1 type2 JR,0582-RCANBP(A) shRNA IDH1 type2 JR.dna
0583,RCANBP(A) shRNA IDH1 type3 JR,RCANBP(A) shRNA IDH1 type3 JR,0583-RCANBP(A) shRNA IDH1 type3 JR.dna
0584,PENTR H1 shRNA IDH1 type1 JR,PENTR H1 shRNA IDH1 type1 JR,0584-PENTR H1 shRNA IDH1 type1 JR.dna
0585,PENTR H1 shRNA IDH1 type2 JR,PENTR H1 shRNA IDH1 type2 JR,0585-PENTR H1 shRNA IDH1 type2 JR.dna
0586,FG12 mBRAF GFP,FG12 mBRAF GFP,0586-FG12 mBRAF GFP.dna
0587,FG12 mBRCA GFP,FG12 mBRCA GFP,0587-FG12 mBRCA GFP.dna
0588,RCASBP(A) hIRE1? S769F,RCASBP(A) hIRE1 S769F,0588-RCASBP(A) hIRE1 S769F.dna
0589,RCASBP(A) hIRE1? wt,RCASBP(A) hIRE1 wt,0589-RCASBP(A) hIRE1 wt.dna
0590,RCASBP(A) hIRE1? R635W,RCASBP(A) hIRE1 R635W,0590-RCASBP(A) hIRE1 R635W.dna
0591,RCASBP (A) TET OFF IRES CRE,RCASBP (A) TET OFF IRES CRE,0591-RCASBP (A) TET OFF IRES CRE.dna
0592,RCASBP (A) P16 (mutant x3) expresses well,RCASBP (A) P16 (mutant x3) expresses well,0592-RCASBP (A) P16 (mutant x3) expresses well.dna
0593,RCAN TRE-BRAF v600e-V5 only new,RCAN TRE-BRAF v600e-V5 only new,0593-RCAN TRE-BRAF v600e-V5 only new.dna
0594,RCASBP(A) myr-AKT-HA del11-60  jr,RCASBP(A) myr-AKT-HA del11-60  jr,0594-RCASBP(A) myr-AKT-HA del11-60  jr.dna
0595,Ori pENTR TRE-BRAF- V600E MYC HIS,Ori pENTR TRE-BRAF- V600E MYC HIS,0595-Ori pENTR TRE-BRAF- V600E MYC HIS.dna
0596,FG12 cmv IDH1-HA R132H gfp,FG12 cmv IDH1-HA R132H gfp,0596-FG12 cmv IDH1-HA R132H gfp.dna
0597,FG12 cmv IDH1-HA wt rfp,FG12 cmv IDH1-HA wt rfp,0597-FG12 cmv IDH1-HA wt rfp.dna
0598,FG12 cmv IDH1 wt NO TAG,FG12 cmv IDH1 wt NO TAG,0598-FG12 cmv IDH1 wt NO TAG.dna
0599,pcr8 IDH1 R132H no tag\,pcr8 IDH1 R132H no tag,0599-pcr8 IDH1 R132H no tag.dna
0600,RCASBP(A) IDH1 R132H HA (Human),RCASBP(A) IDH1 R132H HA (Human),0600-RCASBP(A) IDH1 R132H HA (Human).dna
0601,RCASBP(A) P16-WT-IRES_CRE,RCASBP(A) P16-WT-IRES_CRE,0601-RCASBP(A) P16-WT-IRES_CRE.dna
0602,RCASBP(A) FLAG-P16-WT-IRES_CRE,RCASBP(A) FLAG-P16-WT-IRES_CRE,0602-RCASBP(A) FLAG-P16-WT-IRES_CRE.dna
0603,PCR8 IDH1wt HA,PCR8 IDH1wt HA,0603-PCR8 IDH1wt HA.dna
0604,RCANBP(A) CMV/TO DV,RCANBP(A) CMVTO DV,0604-RCANBP(A) CMVTO DV.dna
0605,pENTR3C-P16-WT-IRES_CRE,pENTR3C-P16-WT-IRES_CRE,0605-pENTR3C-P16-WT-IRES_CRE.dna
0606,pENTR3C-Flag-P16-WT-IRES_CRE,pENTR3C-Flag-P16-WT-IRES_CRE,0606-pENTR3C-Flag-P16-WT-IRES_CRE.dna
0607,pENTR201-H1-shGAPDH,pENTR201-H1-shGAPDH,0607-pENTR201-H1-shGAPDH.dna
0608,RCANBP(A)H1-shGAPDH,RCANBP(A)H1-shGAPDH,0608-RCANBP(A)H1-shGAPDH.dna
0609,RCANBP(A)TRE-HA-BRAF KD V600E,RCANBP(A)TRE-HA-BRAF KD V600E,0609-RCANBP(A)TRE-HA-BRAF KD V600E.dna
0610,RCANBP(A)TRE-HA-BRAF KD WT,RCANBP(A)TRE-HA-BRAF KD WT,0610-RCANBP(A)TRE-HA-BRAF KD WT.dna
0611,pENTR 3C-NRAS(HA)Q61R IRES GFP,pENTR 3C-NRAS(HA)Q61R IRES GFP,0611-pENTR 3C-NRAS(HA)Q61R IRES GFP.dna
0612,NA,NA,0612-NA.dna
0613,pTRIPZ-RFA-DV,pTRIPZ-RFA-DV,0613-pTRIPZ-RFA-DV.dna
0614,pENTR3C-FLAG-p16wt-IRES-GFP,pENTR3C-FLAG-p16wt-IRES-GFP,0614-pENTR3C-FLAG-p16wt-IRES-GFP.dna
0615,pTRIPZ-FLAG-p16wt-IRES-GFP,pTRIPZ-FLAG-p16wt-IRES-GFP,0615-pTRIPZ-FLAG-p16wt-IRES-GFP.dna
0616,pCR8-Cre-RFA (forward orientation),pCR8-Cre-RFA (forward orientation),0616-pCR8-Cre-RFA (forward orientation).dna
0617,pCR8-Cre-RFB (forward orientation),pCR8-Cre-RFB (forward orientation),0617-pCR8-Cre-RFB (forward orientation).dna
0618,pCR8-Cre-RFC.1 (forward orientation),pCR8-Cre-RFC.1 (forward orientation),0618-pCR8-Cre-RFC.1 (forward orientation).dna
0619,pCR8-Cre-RFC.1 (reverse orientation),pCR8-Cre-RFC.1 (reverse orientation),0619-pCR8-Cre-RFC.1 (reverse orientation).dna
0620,RCAS-Cre-RFA (forward orientation),RCAS-Cre-RFA (forward orientation),0620-RCAS-Cre-RFA (forward orientation).dna
0621,RCAS-Cre-RFB (forward orientation),RCAS-Cre-RFB (forward orientation),0621-RCAS-Cre-RFB (forward orientation).dna
0622,RCAS-Cre-RFC.1 (forward orientation),RCAS-Cre-RFC.1 (forward orientation),0622-RCAS-Cre-RFC.1 (forward orientation).dna
0623,pENTR3C-H1-shCtrl,pENTR3C-H1-shCtrl,0623-pENTR3C-H1-shCtrl.dna
0624,pENTR3C-H1-Arf6-496,pENTR3C-H1-Arf6-496,0624-pENTR3C-H1-Arf6-496.dna
0625,RCASBP(A) HS.AKT1 _FLAG,RCASBP(A) HS.AKT1 _FLAG,0625-RCASBP(A) HS.AKT1 _FLAG.dna
0626,RCASBP(A) HS.myr-AKT1 _FLAG,RCASBP(A) HS.myr-AKT1 _FLAG,0626-RCASBP(A) HS.myr-AKT1 _FLAG.dna
0627,RCASBP(A) HS.AKT2 _FLAG,RCASBP(A) HS.AKT2 _FLAG,0627-RCASBP(A) HS.AKT2 _FLAG.dna
0628,RCASBP(A) HS.myr-AKT2 _FLAG,RCASBP(A) HS.myr-AKT2 _FLAG,0628-RCASBP(A) HS.myr-AKT2 _FLAG.dna
0629,RCASBP(A) HS.AKT3 _FLAG,RCASBP(A) HS.AKT3 _FLAG,0629-RCASBP(A) HS.AKT3 _FLAG.dna
0630,RCASBP(A) HS.myr-AKT3 _FLAG,RCASBP(A) HS.myr-AKT3 _FLAG,0630-RCASBP(A) HS.myr-AKT3 _FLAG.dna
0631,Pdest 12.2 CMV-loxp RFP-STOP-loxp GFP,Pdest 12.2 CMV-loxp RFP-STOP-loxp GFP,0631-Pdest 12.2 CMV-loxp RFP-STOP-loxp GFP.dna
0632,RCAN-X-TzTRE-(DV) (ENV A),RCAN-X-TzTRE-(DV) (ENV A),0632-RCAN-X-TzTRE-(DV) (ENV A).dna
0633,RCAN-X pTRIPZ-TRE-eGFP,RCAN-X pTRIPZ-TRE-eGFP,0633-RCAN-X pTRIPZ-TRE-eGFP.dna
0634,pENTR 201 Ms BRAF VE V5,pENTR 201 Ms BRAF VE V5,0634-pENTR 201 Ms BRAF VE V5.dna
0635,RCAN-X TzMsBRAF VE V5,RCAN-X TzMsBRAF VE V5,0635-RCAN-X TzMsBRAF VE V5.dna
0636,RCAN-Z TzTRE HsBRAF V600E Myc HIS6 V5,RCAN-Z TzTRE HsBRAF V600E Myc HIS6 V5,0636-RCAN-Z TzTRE HsBRAF V600E Myc HIS6 V5.dna
0637,RCAS BP (M) RFC.1  Clone #2,RCAS BP (M) RFC.1  Clone #2,0637-RCAS BP (M) RFC.1  Clone #2.dna
0638,pENTRY-H2BRFP_p2a_Mitf,pENTRY-H2BRFP_p2a_Mitf,0638-pENTRY-H2BRFP_p2a_Mitf.dna
0639,RCANBP(A)xTRE2(DV),RCANBP(A)xTRE2(DV),0639-RCANBP(A)xTRE2(DV).dna
0640,RCANBP(A)xTRE2 GFP,RCANBP(A)xTRE2 GFP,0640-RCANBP(A)xTRE2 GFP.dna
0641,RCANBP(A)xTRE2 Flag-P16 IRES CRE,RCANBP(A)xTRE2 Flag-P16 IRES CRE,0641-RCANBP(A)xTRE2 Flag-P16 IRES CRE.dna
0642,RCANBP(A)xTRE2 Flag-P16 IRES GFP,RCANBP(A)xTRE2 Flag-P16 IRES GFP,0642-RCANBP(A)xTRE2 Flag-P16 IRES GFP.dna
0643,NA,NA,0643-NA.dna
0644,RCASBP (M) WT IDH1-HA (Human),RCASBP (M) WT IDH1-HA (Human),0644-RCASBP (M) WT IDH1-HA (Human).dna
0645,pCR8 WT IDH2-HA (Human),pCR8 WT IDH2-HA (Human),0645-pCR8 WT IDH2-HA (Human).dna
0646,RCASBP (A) IDH1 R132H-HA (Mouse),RCASBP (A) IDH1 R132H-HA (Mouse),0646-RCASBP (A) IDH1 R132H-HA (Mouse).dna
0647,RCASBP (A) WT IDH1-HA (Mouse),RCASBP (A) WT IDH1-HA (Mouse),0647-RCASBP (A) WT IDH1-HA (Mouse).dna
0648,RCAS BP (M) IDH1 R132H-HA (Human),RCAS BP (M) IDH1 R132H-HA (Human),0648-RCAS BP (M) IDH1 R132H-HA (Human).dna
0649,RCASBP (A) WT IDH2 (Human) No Tag,RCASBP (A) WT IDH2 (Human) No Tag,0649-RCASBP (A) WT IDH2 (Human) No Tag.dna
0650,RCASBP (M) Cre,RCASBP (M) Cre,0650-RCASBP (M) Cre.dna
0651,pDONR 201 IDH2 R172K-HA (Human),pDONR 201 IDH2 R172K-HA (Human),0651-pDONR 201 IDH2 R172K-HA (Human).dna
0652,RCANBP(A)xTRE2 msBRAF-VE,RCANBP(A)xTRE2 msBRAF-VE,0652-RCANBP(A)xTRE2 msBRAF-VE.dna
0653,pLENTI6 Blockit M2 (shRNA against Met),pLENTI6 Blockit M2 (shRNA against Met),0653-pLENTI6 Blockit M2 (shRNA against Met).dna
0654,pLENTI6 Blockit Luc (shRNA against Luciferase),pLENTI6 Blockit Luc (shRNA against Luciferase),0654-pLENTI6 Blockit Luc (shRNA against Luciferase).dna
0655,RCANBP(A)xTRE2 WT IDH1-HA (human),RCANBP(A)xTRE2 WT IDH1-HA (human),0655-RCANBP(A)xTRE2 WT IDH1-HA (human).dna
0656,RCANBP(A)xTRE2 IDH1 R132H-HA (human),RCANBP(A)xTRE2 IDH1 R132H-HA (human),0656-RCANBP(A)xTRE2 IDH1 R132H-HA (human).dna
0657,FG12 CMV WT IDH2-HA (human) RFP,FG12 CMV WT IDH2-HA (human) RFP,0657-FG12 CMV WT IDH2-HA (human) RFP.dna
0658,FG12 CMV IDH2 R172K-HA (human) GFP,FG12 CMV IDH2 R172K-HA (human) GFP,0658-FG12 CMV IDH2 R172K-HA (human) GFP.dna
0659,FG12-TRE-BRAF-V600E (no GFP),FG12-TRE-BRAF-V600E (no GFP),0659-FG12-TRE-BRAF-V600E (no GFP).dna
0660,RCASBP(A)myrAKT3-P2a-CRE,RCASBP(A)myrAKT3-P2a-CRE,0660-RCASBP(A)myrAKT3-P2a-CRE.dna
0661,pTRIPZ shRNA ATRX V3THS_375690,pTRIPZ shRNA ATRX V3THS_375690,0661-pTRIPZ shRNA ATRX V3THS_375690.dna
0662,pTRIPZ shRNA ATRX V3THS_201895,pTRIPZ shRNA ATRX V3THS_201895,0662-pTRIPZ shRNA ATRX V3THS_201895.dna
0663,pDEST 12.2 WT IDH1-ProTEV-VN173,pDEST 12.2 WT IDH1-ProTEV-VN173,0663-pDEST 12.2 WT IDH1-ProTEV-VN173.dna
0664,pDEST 12.2 WT IDH1-ProTEV-VC155,pDEST 12.2 WT IDH1-ProTEV-VC155,0664-pDEST 12.2 WT IDH1-ProTEV-VC155.dna
0665,pDEST12.2 VC155-ProTev-WT IDH1,pDEST12.2 VC155-ProTev-WT IDH1,0665-pDEST12.2 VC155-ProTev-WT IDH1.dna
0666,pDEST12.2 VN173-ProTev-WT IDH1,pDEST12.2 VN173-ProTev-WT IDH1,0666-pDEST12.2 VN173-ProTev-WT IDH1.dna
0667,pDEST12.2,pDEST12.2,0667-pDEST12.2.dna
0668,pDEST12.2 VC155-ProTev-IDH1 R132H,pDEST12.2 VC155-ProTev-IDH1 R132H,0668-pDEST12.2 VC155-ProTev-IDH1 R132H.dna
0669,pDEST 12.2 IDH1 R132H-ProTEV-VN173,pDEST 12.2 IDH1 R132H-ProTEV-VN173,0669-pDEST 12.2 IDH1 R132H-ProTEV-VN173.dna
0670,pDEST12.2 VN173-ProTev-IDH1 R132H,pDEST12.2 VN173-ProTev-IDH1 R132H,0670-pDEST12.2 VN173-ProTev-IDH1 R132H.dna
0671,pDEST 12.2 IDH1 R132H-ProTEV-VC155,pDEST 12.2 IDH1 R132H-ProTEV-VC155,0671-pDEST 12.2 IDH1 R132H-ProTEV-VC155.dna
0672,RCASBP(A) EGFRWT-HA,RCASBP(A) EGFRWT-HA,0672-RCASBP(A) EGFRWT-HA.dna
0673,RCASBP(A) IDH1 R132H- no tag,RCASBP(A) IDH1 R132H- no tag,0673-RCASBP(A) IDH1 R132H- no tag.dna
0674,pDEST12.2 IDH2 R172K-ProTEV-VN173,pDEST12.2 IDH2 R172K-ProTEV-VN173,0674-pDEST12.2 IDH2 R172K-ProTEV-VN173.dna
0675,pDEST12.2 IDH2 R172K-ProTEV-VC155,pDEST12.2 IDH2 R172K-ProTEV-VC155,0675-pDEST12.2 IDH2 R172K-ProTEV-VC155.dna
0676,pDEST12.2 VN173-ProTev-IDH2 R172K,pDEST12.2 VN173-ProTev-IDH2 R172K,0676-pDEST12.2 VN173-ProTev-IDH2 R172K.dna
0677,pDEST12.2 VC155-ProTev-IDH2 R172K,pDEST12.2 VC155-ProTev-IDH2 R172K,0677-pDEST12.2 VC155-ProTev-IDH2 R172K.dna
0678,pDEST12.2 WT IDH2-ProTEV-VC155,pDEST12.2 WT IDH2-ProTEV-VC155,0678-pDEST12.2 WT IDH2-ProTEV-VC155.dna
0679,pDEST12.2 VN173-ProTev-WT IDH2,pDEST12.2 VN173-ProTev-WT IDH2,0679-pDEST12.2 VN173-ProTev-WT IDH2.dna
0680,pDEST12.2 VC155-ProTev-WT IDH2,pDEST12.2 VC155-ProTev-WT IDH2,0680-pDEST12.2 VC155-ProTev-WT IDH2.dna
0681,pCR8-myr-AKT3-2A-NLS-Cre,pCR8-myr-AKT3-2A-NLS-Cre,0681-pCR8-myr-AKT3-2A-NLS-Cre.dna
0682,pDEST12.2 WT IDH2-ProTEV-VN173,pDEST12.2 WT IDH2-ProTEV-VN173,0682-pDEST12.2 WT IDH2-ProTEV-VN173.dna
